Question,Answer
Заявление на постановку ребенка в очередь в детский сад в г. Чите я подала через Портал государственных и муниципальных услуг Забайкальского края. Можно ли в МФЦ активировать это заявление?,"Для активации заявления Вам необходимо в течение 30 дней представить свидетельство о рождения ребенка в Комитет образования администрации городского округа 'Город Чита' одним из следующих способов: - сканированную копию документа посредством электронной почты obrazovanie@megalink.ru; - оригинал документа в часы работы Комиссии по приему заявлений, постановке на учет на территории городского округа 'Город Чита': каждый вторник с 9.00 до 11.30 час., кабинет N 208, по адресу: г. Чита, ул. Забайкальского рабочего, 94, телефон 32-41-13. "
"Имеют ли право на федеральную налоговую льготу, освобождающую от уплаты налога, дети-инвалиды? ","Да, дети-инвалиды имеют право на налоговую льготу, начиная с налогового периода 2015 года по одному объекту налогообложения определённого вида (по одному жилому дому, одной квартире и т.п.)."
"Если подать жалобу к Уполномоченному по защите прав предпринимателей на нарушение действий  организации в мою сторону, подскажите, смогу ли я получить готовый результат в МФЦ или выдача не предусмотрена?","При предоставлении услуги 'Консультирование и прием письменных обращений (заявлений, предложений, жалоб) от субъектов предпринимательской деятельности к Уполномоченному по защите прав предпринимателей в Забайкальском крае' в МФЦ осуществляются следующие административные процедуры: - консультирование, - прием, регистрация, направление письменных обращений (заявлений, предложений, жалоб) Уполномоченному. Выдача результата по данной услуге в МФЦ не предусмотрена."
"Мне досталась квартира по завещанию, в наследство вступила через 6 месяцев. Нужно ли мне оформлять ее в собственность, если я ее продаю или можно оформить сделку купли-продажи сразу на покупателя?","После получения свидетельства о праве на наследство по закону или по завещанию Вам необходимо оформить право собственности. Вы можете обратиться в Центр 'Мои Документы' для оформления права собственности на квартиру, приобретаемую в порядке наследования, и перехода права по договору купли-продаже другому лицу, для это необходимо предоставить следующие документы:1. Заявление о государственной регистрации права (заполняется на месте);2. Документ, удостоверяющий личность заявителей;3. Документ об уплате государственной пошлины - 2 000 рублей от наследника и 2000 рублей от покупателя;4. Свидетельство о праве на наследство по завещанию;5. Договор купли-продажи (не менее двух подл. экз.);6. Иные документы, которые в установленных законодательством случаях необходимы для государственной регистрации.Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10, 8-800-234-0175. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанным телефонам."
"Мне нужно подать документы на замену паспорта гражданина РФ с связи с достижением 45 лет. Я хочу обратиться в Центр «Мои документы» на ул. Бутина, 72. Смогу ли я получить готовый результат в МФЦ или же выдача паспорта в МФЦ не предусмотрена? ","В Центре 'Мои документы' предоставляется услуга Управления Министерства внутренних дел Российской Федерации по Забайкальскому краю 'Выдача, замена паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации на территории Российской Федерации'. Результат предоставления этой услуги выдача либо замена паспорта гражданина Российской Федерации, удостоверяющего личность гражданина Российской Федерации на территории Российской Федерации, или принятие решения об отказе в выдаче либо замене паспорта. Выдача готового документа производится в Центре 'Мои документы' по адресу: ул. Генерала Белика,12. При поступлении готового документа сотрудник Контакт-центра МФЦ оповещает Вас телефонным звонком.  "
"Здравствуйте,скажите,пожалуйста,сколько будет стоить оформление доверенности?","Для уточнения интересующей Вас информации Вам следует обратиться к нотариусу. Дополнительно сообщаем, что в Центре «Мои документы» по адресу: г. Чита, ул. Генерала Белика, 12 можно воспользоваться услугами нотариуса. Режим работы нотариуса с 10-00 до 17-00, обеденный перерыв с 13-00 до 14-00. Перед посещением Центра рекомендуем уточнить по телефону график приема: 21-10-10. "
"Я, бабушка, являюсь опекуном внука 2016г.р  получаю опекунские .Мать ребенка несовершеннолетняя ,мать одиночка.Положено ли ежемесячное  детское пособие внуку.","Вы как опекун можете подать документы на выплату ежемесячного пособия на ребенка до 16 лет. Данное пособие назначается ребенку до достижения им возраста 16 лет (на учащегося общеобразовательного учреждения - до окончания им обучения, но не более чем до достижения им возраста 18 лет) в семьях со среднедушевым доходом, размер которого не превышает величину прожиточного минимума в Забайкальском крае, установленную в соответствии с законом края. Документы для оформления пособия можно подать в центрах «Мои документы» и в Государственное казенное учреждение «Краевой центр социальной защиты населения» Забайкальского края по месту проживания."
"Подскажите, пожалуйста, стоимость и точные реквизиты для оплаты пошлины, чтоб получить выписку из ЕГРН о переходе прав на объект недвижимости/","Размер платы за предоставление выписки из Единого государственного реестра недвижимости о переходе прав на объект недвижимости составляет: - в виде бумажного документа: 400​ руб.(для ФЛ) и 1100​ руб.(для ЮЛ), - в виде электронного документа: 250​ руб.(для ФЛ) и ​500 руб. (для ЮЛ). Реквизиты для оплаты: УФК по Забайкальскому краю  (ОК 02, филиал ФГБУ 'ФКП Росреестра' по Забайкальскому краю) л/с 20916Ц32740 ИНН 7705401340 КПП 753643001 ОКТМО 76701000  ГРКЦ ГУ Банка России по Забайкальскому краю г. Чита р /с 40501810600002000002 БИК 047601001 КБК 00000000000000000130 – доходы от оказания платных услуг (работ) и компенсации затрат "
"Могу ли я оформить разрешение на строительство ИЖС, находящегося в селе Смоленка, в офисе в г.Краснокаменск?","Согласно Федеральному закону от 06 октября 2003 года N 131-ФЗ «Об общих принципах организации местного самоуправления в Российской Федерации» выдача разрешения на строительство осуществляется уполномоченными органами местного самоуправления - муниципальными районами и городскими округами Забайкальского края. С учетом перераспределения полномочий между муниципальными районами и поселениям выдача разрешений на строительство осуществляется в муниципальном районе того поселения, в котором находится земельный участок. Для получения данного разрешения, Вам необходимо обратиться в Администрацию муниципального района 'Читинский район' либо в уполномоченный МФЦ – Филиал КГАУ «МФЦ Забайкальского края» по Читинскому району, расположенный по адресу: г. Чита, ул. Генерала Белика, д 12. Дополнительную информацию Вы можете уточнить по телефону Контакт-центра МФЦ 21-10-10."
"Можно ли в МФЦ оформить временное удостоверение личности? Если да, то какие документы нужно предъявить ","В соответствии с положениями административного регламента Министерства внутренних дел РФ по предоставлению государственной услуги по выдаче, замене паспортов гражданина РФ, удостоверяющих личность гражданина РФ на территории РФ, утвержденного приказом МВД России от 13 ноября 2017 г. N 851. № 851 от 13.11.2017 г., гражданин вправе на срок оформления паспорта получить временное удостоверение личности, которое выдается гражданину при его личном посещении подразделения по вопросам миграции после установления личности гражданина и подтверждения наличия у него гражданства РФ, а при обращении гражданина с заявлением об утрате или похищении паспорта - после подтверждения факта выдачи утраченного или похищенного паспорта. Максимальный срок оформления временного удостоверения личности - 10 минут.С целью оперативного оформления временного удостоверения личности в случае утраты или похищении паспорта, выданного иным подразделением по вопросам миграции, и отсутствия документов, подтверждающих личность гражданина, без заведения дела об утрате (похищении) паспорта, на основании заявления, поданного гражданином в произвольной форме, проводится проверка по установлению его личности и подтверждения выдачи утраченного паспорта. Временное удостоверение личности без заведения дела об утрате (похищении) паспорта выдается гражданину для проезда его к месту жительства на срок до 10 дней.Таким образом, Вы можете обратиться в центр 'Мои Документы' для подачи заявления о выдаче (замене) паспорта, при этом выдача временного удостоверения личности будет осуществляться в подразделении по вопросам миграции."
Я бы хотел взять в аренду землю. Куда можно обратиться?,"Арендатором земли, согласно нормам российского законодательства, может быть любое физическое или юридическое лицо. Заявитель, который хочет приобрести в аренду земельный участок, обращается в Департамент государственного имущества и земельных отношений Забайкальского края по адресу: г. Чита, ул. Амурская, 68, телефон 32-44-19. При себе необходимо иметь картографический план на земельный участок, который Вы хотели бы арендовать. Если этот земельный участок свободен, то на него будет объявлен аукцион на официальном сайте органа и будет опубликовано объявление в газете. В течении месяца, если претендентов на земельный участок не находится, то участок оформляют в аренду в отделе арендных отношений Департамента государственного имущества и земельных отношений."
как записаться на услугу 'кадастровая палата прием документов',"Порядок действий для получения талона через сайт «Мои документы», в случае если Вы зарегистрированы на Портале государственных услуг:1.Перейти на сайт центра «Мои документы» http://www.mfc-chita.ru/2.Нажать на вкладку «Войти в Мой кабинет», далее кликнуть «Войти через ЕСИА».3.Авторизация ЕСИА. В специальные поля вносим данные: номер Вашего телефона и пароль. Далее кликнуть «Войти».4.Перенаправление с ЕСИА на сайт центра «Мои документы». Кликнуть «Предварительная запись».5.Выбрать адрес интересующего Вас филиала. По городу Чита - это Бутина, 72 или Г. Белика, 12.6.Выбрать ведомство - Недвижимость, земельные участки7.Выбираем услугу - Прием документов (Росреестр, Кадастровая палата)8.Выбрать дату и время приема.9.Ввести буквенно-цифровые символы для проверки на робота.Дополнительно сообщаем, чтобы записаться в Центр «Мои документы» по предварительной записи, Вы можете позвонив в Центр телефонного обслуживания по номеру телефона –21-10-10."
"Подскажите,пожалуйста, где можно узнать перечень необходимых документов на регистрацию прав собственности на нежилое помещение?(помещение под магазин)","К сожалению, определенного перечня документов для регистрации нежилого помещения нет. В первую очередь Ваше помещение должно стоять на кадастровом учете. В случае если помещение не стоит на кадастровом учете, то необходимо заказать технический план у кадастрового инженера или обратиться в БТИ. Для более точной и подробной консультации рекомендуем обратится Центр 'Мои Документы' со всеми имеющимися документами на нежилое помещение (магазин) и земельный участок под магазином (при наличии).Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
Документы для статуса многодетной семьи,"Для регистрации многодетной семьи для получения мер социальной поддержки необходимо предоставить следующий пакет документов:1) заявление о предоставлении государственной услуги (заполняется на месте);2) документ, удостоверяющий личность гражданина РФ;3) свидетельство о рождении детей;4) справку о составе семьи - в случае если заявитель проживает в многоквартирном доме, управление которым осуществляет Управляющая организация.При обращении за получением государственной услуги заявитель дополнительно представляет документы, подтверждающие получение согласия членов семьи на обработку персональных данных.В случае представления копий документов, не заверенных в установленном законодательством порядке, заявителем представляются и их подлинники.Получить данную услугу Вы можете в Центре 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
Оказывается  ли услуга  по  замене свидетельства о рождении? ,"На базе Центра 'Мои Документы' предоставляется услуга 'Выдача повторных свидетельств о государственной регистрации акта гражданского состояния и иных документов (справок, извещений), подтверждающих наличие или отсутствие факта государственной регистрации акта гражданского состояния'. Для получения данной услуги необходимы следующие документы:1)заявление о выдаче повторного свидетельства о государственной регистрации акта гражданского состояния (заполняется на месте);2)документ, удостоверяющий личность заявителя;3)документ, подтверждающий уплату государственной пошлины за выдачу повторного свидетельства о государственной регистрации акта гражданского состояния - 350 рублей.Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
В каких случаях не уплачивается государственная пошлина за предоставление сведений из ЕГРЮЛ в виде выписки?,"Бесплатно сведения из ЕГРЮЛ в виде выписки предоставляются по запросу:-юридического лица о нем; -органов государственной власти, в том числе правоохранительных органов и судов по находящимся в производстве делам, органов местного самоуправления, органов государственных внебюджетных фондов, а также иных лиц, определенных федеральными законами, - в случаях и в порядке, которые установлены федеральными законами и нормативными актами Правительства Российской Федерации.  "
"Скажите, есть ли возможность срочного получения заграничного паспорта несовершеннолетнему гражданину?","Для срочного получения заграничного паспорта необходимо предъявить документы, подтверждающие срочную выдачу паспорта (в течение 3 рабочих дней): - письмо организации здравоохранения РФ, о необходимости срочной поездки на лечение;  - письмо зарубежной медицинской организации об экстренном лечении (заключение медицинской организации по месту жительства больного); - телеграфное сообщение, из-за пределов территории РФ, подтверждающее факт тяжелого заболевания или смерти супруга (ги), родителя, ребенка, усыновителя, усыновленного, родного брата (сестры), дедушки (бабушки), внука."
Какие документы необходимо представить при оформлении договора дарения квартиры между близкими родственниками?," Для государственной регистрации прав по договору дарения квартиры необходимо представить следующие документы:1. Заявление дарителя и одаряемого о государственной регистрации права одаряемого (заполняется на месте);2. Документ, удостоверяющий личность заявителей (для идентификации личности);3. Нотариально удостоверенная доверенность или иной документ, подтверждающий полномочия на представление интересов в органе, осуществляющем государственную регистрацию прав (в случае подачи заявления и документов представителем);4. Документ об уплате государственной пошлины (от физического лица 2000 руб., квитанция оплачивается на имя одаряемого);5. Проект договора дарения (не менее 2 подл. экз.);Получить данную услугу Вы можете в Центре 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
Сколько составляет государственная пошлина за регистрацию купли-продажи гаража?,Размер государственной пошлины для государственной регистрации прав по договору купли-продажи гаража составляет 2000 рублей.
Подскажите можно ли у вас получить ИНН. Что для этого нужно и сколько ждать по времени?,"Вы можете обратиться в Центр 'Мои Документы' для оформления ИНН.Перечень необходимых документов при первичном получении для лиц до 14 лет:- Заявление (заполняется на месте);- Свидетельство о рождении ребенка;- Документ (документы), подтверждающий регистрацию по месту жительства;- Документ, удостоверяющий личность законного представителя.Перечень необходимых документов при первичном получении для граждан РФ, старше 14 лет:- Заявление (заполняется на месте);- Документ, удостоверяющий личность физического лица;- Документ (документы), подтверждающий регистрацию по месту жительства (если в документе, удостоверяющем личность гражданина РФ, отсутствуют данные о месте жительства).Свидетельство направляется в МФЦ для выдачи заявителю на 5-ый рабочий день.Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
"Какие нужно собрать документы, на выплату по уходу за ребенком до 1,5 лет? Отец и мать не работают"," Для назначения и выплаты ежемесячного пособия по уходу за ребенком до 1,5 лет необходимо предоставить:1. Заявление (заполняется на месте);2. Документ, удостоверяющий личность - паспорт гражданина РФ (обоих родителей); 3. Свидетельство о рождении ребенка (детей);4. Справка о составе семьи; 5. Свидетельство о заключении/расторжении брака/о перемене фамилии - при изменении ФИО;6. СНИЛС;7. Копия трудовой книжки, заверенная в установленном порядке (обоих родителей), для граждан, не имеющих трудовую книжку - документ об образовании;8. Номер счета для перечисления денежных средств. Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
"Данные какого документа нужно указывать при оплате госпошлины за сделку покупки квартиры? Снилс, паспорт или др.?","При оплате государственной пошлины за государственную регистрацию прав по договору купли-продажи необходимо указать ФИО, паспортные данные, адрес по прописке плательщика (покупателя).Реквизиты для оплаты госпошлины за государственную регистрацию прав на недвижимое имущество и сделок с ним: Получатель платежа: УФК по Забайкальскому краю (Управление Росреестра по Забайкальскому краю Л/С 04911W00910)ИНН 7536057403 КПП 753601001 ОКТМО 76701000 Отделение Чита г. Чита Р /С 40101810200000010001 БИК 047601001КБК  321 108 07 020 01 8000 110 – Госпошлина за государственную регистрацию прав на недвижимое имущество и сделок с ним  Страховой номер индивидуального лицевого счета плательщика (СНИЛС): ХХХ-ХХХ-ХХХ ХХЗаявителям при подаче документов на государственную регистрацию прав через многофункциональные центры при оплате государственной пошлины за государственную регистрацию прав, ограничений (обременений) прав на недвижимое имущество и сделок с ним  необходимо указывать код бюджетной классификации (КБК): 321 108 07 020 01 8000 110. Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
По каким реквизитам оплачивать госпошлину за регистрацию купли-продажи квартиры покупателю?," Реквизиты для оплаты госпошлины за государственную регистрацию прав на недвижимое имущество и сделок с ним: Получатель платежа: УФК по Забайкальскому краю (Управление Росреестра по Забайкальскому краю Л/С 04911W00910)ИНН 7536057403 КПП 753601001 ОКТМО 76701000 Отделение Чита г. Чита Р /С 40101810200000010001 БИК 047601001КБК  321 108 07 020 01 8000 110 – Госпошлина за государственную регистрацию прав на недвижимое имущество и сделок с ним  Страховой номер индивидуального лицевого счета плательщика (СНИЛС): ХХХ-ХХХ-ХХХ ХХЗаявителям при подаче документов на государственную регистрацию прав через многофункциональные центры при оплате государственной пошлины за государственную регистрацию прав, ограничений (обременений) прав на недвижимое имущество и сделок с ним  необходимо указывать код бюджетной классификации (КБК): 321 108 07 020 01 8000 110. Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
как подать заявление через госуслуги,"Данная услуга не оказывается на базе Центра 'Мои Документы. По возникающим вопросам в части оказания услуг через Портал Госуслуг, рекомендуем обращаться по телефону технической поддержи Портала: 8-800-100-70-10."
Куда обращаться по поводу 'уход за больным человеком'и какие документы нужны?,"Если Вас интересует уход за нетрудоспособными гражданами, детьми-инвалидами и инвалидами с детства 1 группы, то рекомендуем обратиться в Государственное учреждение - Управление Пенсионного фонда Российской Федерации в г. Чите Забайкальского края (межрайонное) по адресу: г. Чита, ул. Чкалова 160-б, телефон горячей линии: 8(3022) 36-95-55, телефон справочной УПФР в г. Чите - 36-93-94, единая федеральная консультационная служба ПФР - единый федеральный номер 8-800-302-2-302, звонок бесплатный, т. к. данный вопрос не относится к сфере деятельности Центра 'Мои Документы'."
